
2  47.68121700  009.53777800   1366   473  40    0.0 FHA  FRIEDRICHSHAFEN NDB
3  47.74583300  010.34972200   2529 10840 130    0.0 KPT  KEMPTEN VOR-DME
4  47.67739400  009.52716700   1366 11190  18      60.090 IFHE EDNY 06  ILS-cat-I
4  47.66527500  009.49591400   1333 11190  18     240.060 IFHW EDNY 24  ILS-cat-II
6  47.66757014  009.50508848   1367 11190  10  310060.030 IFHE EDNY 06  GS
6  47.67496500  009.51763811   1367 11190  10  300240.030 IFHW EDNY 24  GS
7  47.70689200  009.60196700   1367     0   0     240.030 ---- EDNY 24  OM
8  47.66291700  009.49104700   1367     0   0      60.030 ---- EDNY 06  MM
8  47.68121700  009.53777800   1366     0   0     240.030 ---- EDNY 24  MM
12  47.74583300  010.34972200   2529 10840 130    0.0 KPT  KEMPTEN VOR-DME
13  47.66635300  009.50885800   1400 11260  25    0.0 FHD  FRIEDRICHSHAFEN DME
99
